6612	5911	5096	2346	4722	3641	1556	820	8622	3642	4111	2422	1100	812	3899	6149	6564	5852	6434	1094	9753	883	591	7007	2645	10723	11021	2139	7540	12004	5926	6705	4278	4518	4779	6406	2706	2349	6090	7631	7447	7489	7346	4698	6827	6809	4916	2480	2311	3382	2391	3507	4548	2738	2806	1870	4158	4537	5020	3603	2678	3396	5834	2708	9305	2865	2698	2678	3236	2625	1640	1982	3267	2065	3412	2091	1069	1050	3603	3536	3269	4153	2499	2167	1649	2320	1069	1724	2133	2320	883	1038	1166	1888	3528	4114	1628	1453	3793	3764	1774	2285	3322	1249	1402	1416	1561	1148	1612	2133	1476	259	836	883	844	1044	1276	1233	1397	1874	418	991	1661	1353	1556	656	0
6165	6493	5180	1860	4571	3856	957	1050	9278	2994	4698	2794	998	1358	3787	5502	5908	6422	7056	1740	9132	1512	1194	7315	2101	11238	11489	2189	7475	11977	5908	7341	3964	3863	4292	6406	2935	2691	6072	8229	8038	8070	7924	5301	7373	7378	5515	3045	2909	3995	3045	4153	5199	3388	3443	2509	4773	5180	5675	4248	3275	3045	5560	2767	9953	3185	2982	3036	3613	2706	984	1411	2786	1416	2767	1661	418	676	2964	2881	2650	3507	1913	1628	1713	2320	1297	1561	2231	2499	883	1038	906	1972	3778	4417	2117	1755	4080	3946	2207	2594	3602	1870	2029	2065	2216	1805	2252	2789	2133	625	1486	1281	778	1578	1801	1358	1945	2491	844	1612	1166	1996	1870	0	656
8034	6384	3613	2380	6278	5020	2201	820	8190	4218	4646	928	1100	906	2730	6580	7175	4773	5616	1358	10753	1194	1148	5467	3944	11373	11813	928	6187	13516	7448	5993	5800	5292	6152	4989	1160	820	4698	6648	6435	6434	6279	5109	7428	7312	5341	3267	2982	3830	2555	3642	4512	2458	2334	1640	3364	3968	4636	3123	1903	2825	4884	1358	9182	1323	1142	1166	1744	1249	2594	2389	3089	3071	3959	2052	2091	1548	4086	4203	3642	4666	3719	3482	3185	3861	2576	3275	3642	3777	2439	2594	2678	3412	4873	5374	2767	2872	5084	5173	2994	3624	4640	1183	1281	1526	1755	1616	1508	2207	1774	1816	1353	2303	1166	2228	706	625	812	1435	1142	1142	1972	1411	0	1870	1556
7803	5010	4858	3372	5545	3877	2794	1402	7301	4924	3248	1812	1920	778	4140	7411	7876	4577	5088	259	11103	492	820	6231	3964	9977	10403	2332	7522	12487	6490	5352	5341	5852	6029	6288	2389	1834	6019	6311	6135	6191	6052	3741	6032	5934	3971	1874	1578	2439	1211	2349	3324	1397	1453	519	2825	3185	3692	2252	1397	4119	6291	2757	8078	2303	2252	2052	2483	2645	2971	3156	4222	3412	4682	3062	2391	2158	4857	4840	4478	5424	3840	3490	2461	3095	1860	2786	2789	2803	2002	2101	2391	2617	3699	4114	1578	1945	3856	4060	1834	2509	3449	232	164	116	348	367	259	883	367	1508	519	1512	1771	1211	706	1661	625	580	1233	418	2767	0	1411	1996	1353
6471	7569	4524	696	5414	4989	418	1397	10019	2252	5769	2825	906	1996	2900	4676	5220	6744	7565	2547	8804	2288	1972	6995	2391	12375	12646	1740	6570	12891	6868	7917	4601	3322	4558	5598	2678	2678	5246	8619	8407	8404	8249	6346	8487	8469	6567	4140	3968	5026	3944	5084	6088	4131	4104	3225	5290	5824	6417	4924	3787	1920	4463	2231	10845	3071	2822	3012	3573	2216	935	418	1624	1323	1996	519	883	625	2139	2231	1724	2718	2091	2029	2825	3372	2461	2547	3340	3633	2026	2167	1920	3082	4924	5574	3256	2921	5234	5064	3364	3757	4756	2576	2738	2865	3065	2698	2994	3641	3009	1744	2334	2436	998	2691	2297	1353	2461	3121	1556	2349	0	2767	1972	1166	1661
7548	5381	4711	2957	5431	3937	2380	991	7710	4512	3603	1740	1508	367	3856	6996	7468	4869	5447	232	10739	116	418	6279	3633	10325	10723	2026	7324	12505	6468	5730	5137	5453	5742	6113	2228	1724	5829	6640	6457	6501	6359	4119	6384	6303	4348	2139	1870	2806	1616	2757	3741	1805	1834	906	3168	3573	4101	2645	1689	3741	5971	2499	8497	2228	2133	1996	2491	2391	2576	2738	3816	3025	4268	2650	1996	1740	4441	4432	4060	5010	3490	3156	2311	2973	1689	2563	2698	2767	1740	1860	2101	2499	3777	4248	1649	1870	3968	4104	1888	2544	3536	259	418	519	734	478	656	1297	706	1183	259	1358	1353	1160	492	1281	519	883	820	0	2349	418	1142	1612	991
6964	6052	4682	2201	5138	4022	1561	418	8531	3692	4254	2026	812	519	3528	6179	6649	5578	6231	998	9965	743	418	6603	2937	10926	11262	1740	7147	12419	6342	6531	4670	4640	5109	6002	2288	1945	5689	7389	7196	7227	7080	4812	7007	6962	5036	2671	2461	3490	2389	3528	4537	2625	2645	1724	3944	4385	4921	3461	2439	3134	5515	2303	9298	2458	2285	2279	2844	2216	1771	1931	3095	2231	3449	1913	1194	935	3624	3613	3250	4190	2757	2461	2065	2738	1476	2133	2544	2718	1297	1453	1548	2303	3899	4464	1913	1834	4150	4153	2091	2648	3685	1069	1233	1323	1512	1142	1476	2091	1453	676	778	1255	591	1323	957	836	1100	1673	0	820	1556	1233	1142	844	418
8381	4989	4565	3668	6105	4343	3208	1724	6898	5337	3299	1508	2228	1160	4067	7796	8304	4005	4565	820	11621	991	1297	5730	4512	10000	10490	2346	7281	12966	7003	4858	5921	6311	6599	6020	2167	1578	5773	5759	5578	5627	5486	3714	6060	5917	3946	2158	1834	2480	1183	2216	3082	1038	984	259	2285	2718	3297	1805	820	4256	6264	2671	7786	1972	1982	1713	2052	2555	3443	3528	4463	3899	5088	3346	2865	2544	5250	5273	4846	5824	4373	4035	3036	3663	2439	3366	3348	3340	2576	2678	2957	3185	4153	4512	2075	2504	4278	4537	2334	3009	3898	625	478	591	676	935	367	844	778	2056	1069	2091	2133	1774	836	1870	676	0	1673	883	3121	580	1435	2491	1874
8005	5573	4248	2994	5947	4432	2576	1069	7562	4693	3835	1233	1561	591	3528	7137	7664	4478	5153	656	11060	625	812	5760	4027	10562	11008	1740	6900	13015	6984	5475	5627	5695	6175	5670	1771	1233	5397	6291	6096	6126	5979	4298	6616	6500	4530	2499	2201	3018	1744	2844	3748	1713	1649	844	2865	3364	3968	2466	1353	3602	5695	2139	8462	1724	1649	1486	1972	2026	2853	2872	3787	3322	4441	2671	2285	1903	4596	4640	4184	5173	3856	3549	2825	3490	2201	3051	3217	3283	2216	2346	2552	3016	4265	4711	2133	2389	4441	4605	2380	3045	4020	418	478	734	957	906	696	1397	991	1624	778	1874	1486	1673	164	1194	0	676	1100	519	2461	625	812	1945	1397
7482	6662	3877	1812	5890	4858	1578	418	8733	3603	4884	1526	478	928	2698	5993	6567	5396	6218	1512	10129	1276	1069	5965	3372	11602	11984	906	6311	13227	7148	6580	5322	4669	5587	5173	1578	1397	4857	7267	7056	7057	6903	5397	7664	7584	5627	3382	3134	4086	2870	4000	4935	2907	2832	2026	3951	4518	5151	3642	2461	2461	4732	1476	9656	1860	1640	1744	2323	1397	1986	1771	2594	2461	3346	1486	1512	935	3480	3583	3045	4060	3132	2921	2872	3536	2303	2865	3364	3551	2065	2228	2231	3117	4735	5292	2715	2671	4981	4989	2909	3482	4518	1435	1578	1774	2002	1740	1834	2533	1986	1476	1397	2091	591	2133	1038	0	1194	1870	836	1281	1353	1661	625	1358	1233
