1743	1142	563	3024	2992	3189	2957	2928	2874	2843	3027	3023	2756	2724	2693	2658	2627	2745	2744	2451	2418	2344	2341	2300	2356	2322	2296	2269	2265	2292	2326	2289	2253	2226	2182	2264	2228	2160	2130	2379	2382	2046	1972	1933	2115	2123	1673	1657	1608	1567	1504	1548	1598	1540	1487	1442	1358	1380	1427	1482	1317	1367	1424	1409	1357	1220	1631	1655	1147	1084	1428	1461	849	787	757	717	642	691	773	870	847	747	661	610	579	624	715	819	846	763	473	1227	1275	488	331	299	697	598	181	150	1151	1210	309	31	0
1712	1112	533	2993	2961	3161	2927	2897	2843	2812	2998	2994	2725	2693	2662	2628	2597	2717	2716	2421	2387	2313	2310	2269	2326	2292	2265	2238	2234	2261	2296	2259	2223	2196	2151	2234	2198	2129	2099	2352	2356	2015	1943	1903	2089	2098	1642	1628	1578	1536	1474	1518	1569	1511	1457	1411	1327	1349	1397	1453	1287	1337	1396	1381	1328	1190	1609	1634	1121	1058	1410	1444	820	756	727	686	611	662	748	847	824	721	632	579	549	596	690	797	827	743	442	1216	1265	464	300	268	687	588	150	119	1147	1208	303	0	31
1638	1023	488	2960	2929	3013	2826	2807	2811	2780	2851	2841	2661	2662	2631	2522	2502	2560	2552	2354	2349	2265	2270	2232	2222	2208	2205	2201	2174	2177	2191	2153	2138	2135	2114	2117	2094	2086	2054	2178	2174	1945	1815	1790	1898	1899	1600	1499	1477	1474	1411	1415	1437	1376	1352	1348	1290	1285	1289	1314	1223	1226	1253	1220	1186	1146	1375	1391	931	889	1148	1175	716	728	693	640	604	570	581	634	606	550	538	574	546	499	512	572	577	512	441	921	967	307	393	373	388	292	318	309	845	907	0	303	309
1845	1343	1141	3154	3125	2843	2825	2838	3016	2988	2694	2662	2782	2879	2851	2524	2541	2387	2355	2493	2571	2466	2494	2465	2260	2309	2376	2438	2348	2280	2230	2193	2243	2312	2361	2126	2147	2318	2283	1978	1945	2118	1831	1856	1671	1638	1901	1570	1639	1745	1694	1583	1512	1455	1529	1643	1663	1593	1475	1398	1544	1422	1342	1258	1298	1537	1057	1024	990	1043	751	717	1136	1291	1260	1210	1251	1100	946	821	801	929	1085	1238	1226	1068	908	777	686	765	1174	345	307	947	1227	1222	555	654	1209	1208	71	0	907	1208	1210
1786	1278	1071	3101	3071	2812	2782	2794	2962	2933	2661	2631	2731	2824	2796	2480	2494	2354	2324	2441	2514	2411	2438	2408	2213	2258	2322	2381	2293	2228	2183	2145	2192	2257	2303	2079	2098	2260	2225	1945	1914	2062	1782	1805	1638	1607	1839	1516	1581	1684	1632	1525	1457	1399	1470	1580	1597	1529	1415	1342	1479	1361	1285	1202	1240	1471	1023	994	929	979	716	688	1066	1220	1190	1140	1180	1030	876	753	732	858	1014	1167	1155	998	838	707	617	695	1104	307	282	878	1160	1155	487	587	1145	1144	0	71	845	1147	1151
1596	998	421	2874	2842	3052	2811	2781	2724	2693	2889	2886	2607	2574	2543	2514	2481	2610	2611	2303	2268	2194	2191	2150	2212	2175	2147	2119	2116	2145	2182	2144	2107	2078	2032	2121	2084	2011	1981	2250	2255	1898	1832	1790	1991	2003	1524	1518	1465	1418	1356	1404	1460	1403	1345	1294	1208	1232	1285	1346	1170	1226	1289	1279	1222	1072	1529	1557	1029	960	1345	1384	712	639	610	571	493	554	654	767	747	631	525	462	431	491	602	723	763	672	327	1182	1236	382	181	149	667	565	31	0	1144	1208	309	119	150
1565	969	392	2843	2811	3023	2781	2751	2693	2662	2861	2858	2577	2543	2512	2484	2451	2582	2583	2272	2237	2163	2160	2119	2182	2145	2116	2088	2086	2115	2152	2115	2076	2047	2001	2092	2054	1980	1950	2223	2229	1867	1803	1761	1966	1978	1493	1490	1435	1388	1326	1375	1432	1375	1315	1264	1178	1202	1256	1318	1140	1197	1262	1253	1195	1041	1509	1538	1006	935	1329	1369	684	608	580	541	463	526	631	747	728	608	498	431	401	464	581	705	748	655	297	1175	1230	364	150	118	664	562	0	31	1145	1209	318	150	181
1526	926	526	2866	2835	2815	2671	2661	2719	2689	2655	2639	2540	2573	2543	2364	2354	2356	2343	2235	2257	2165	2178	2142	2070	2074	2094	2112	2063	2043	2039	2000	2004	2025	2028	1955	1944	1993	1960	1963	1952	1830	1648	1637	1672	1665	1521	1338	1345	1380	1319	1282	1275	1212	1219	1259	1229	1198	1157	1149	1138	1094	1086	1036	1023	1087	1116	1125	731	716	869	891	637	728	693	637	647	535	453	434	402	423	510	627	608	481	386	363	331	307	536	629	677	312	573	568	102	0	562	565	587	654	292	588	598
1540	953	605	2881	2850	2787	2662	2656	2736	2705	2627	2609	2546	2590	2560	2355	2349	2326	2310	2242	2275	2180	2196	2161	2064	2076	2105	2131	2074	2046	2033	1995	2007	2036	2048	1945	1940	2012	1978	1928	1914	1840	1638	1633	1632	1622	1547	1333	1352	1402	1342	1290	1270	1208	1228	1283	1264	1224	1166	1145	1166	1105	1082	1024	1021	1124	1060	1064	717	716	799	815	679	791	757	702	723	596	487	433	402	459	574	705	689	548	426	363	308	317	625	533	579	398	672	668	0	102	664	667	487	555	388	687	697
1450	858	287	2725	2693	2916	2667	2635	2575	2544	2753	2752	2459	2425	2394	2371	2336	2477	2480	2155	2119	2046	2042	2001	2068	2029	1999	1970	1968	1999	2039	2001	1961	1930	1883	1980	1941	1862	1832	2123	2131	1751	1694	1649	1871	1886	1375	1382	1323	1272	1210	1263	1325	1269	1204	1148	1060	1086	1146	1213	1024	1087	1159	1154	1092	924	1435	1468	920	844	1273	1317	580	492	465	429	347	425	550	680	664	531	400	316	285	369	508	647	701	603	188	1154	1213	313	32	0	668	568	118	149	1155	1222	373	268	299
